#id,x,y,cost
1,-0.5,-0.5,0
2,-0.301903471877196,-0.4724724584154135,0
3,-0.17052814594375554,-0.3216728439070127,0
4,-0.05276707540846298,-0.16001787099747966,0
5,-0.1587350192676179,0.00960168823512475,0
6,0.1492359581620265,-0.34053016336842634,0
7,-0.12263934197016023,0.20631747834979197,0
8,0.09691303557116326,-0.3848666850410034,0
9,0.06348997603878738,0.2795013357059334,0
10,-0.24914937516247904,-0.09171794898369989,0
11,0.10629449698811166,-0.4783452953374583,0
12,-0.24624383106690595,-0.008478080541183042,0
13,0.16508650775167732,0.10008844798738037,0
14,-0.11835985641016977,0.4966212434318218,0
15,-0.29090216546819914,-0.30982870509692395,0
16,-0.3518631977703043,0.47702083174717325,0
17,0.29487195154860835,-0.4860560285504921,0
18,-0.1877122320978034,-0.4670868396982878,0
19,0.40472507223803267,0.08442680021379223,0
20,0.449417864628177,0.2793692386626109,0
21,-0.40355420791748287,0.2737945499466937,0
22,0.5,0.5,0
23,0.5,0.5,0
